,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity
3.196,221799,213027,224045,227545,225027,220164,218538,222767,242236,210247,218782,221224,223569,210344,205578,209739,200946,213960,214206,204772
3.200,219519,210084,226997,227889,226823,218178,217116,219467,244784,207784,215184,221024,224994,209181,204411,209285,199636,213561,213594,206304
3.204,215450,209368,223566,224585,224095,218399,216731,215418,243677,209181,215692,221403,227122,211027,201988,207676,200416,209760,211886,205468
3.208,213586,210717,217836,221629,220994,215105,214147,213637,240451,209568,217821,221447,226660,209869,200838,203919,200025,206965,209843,202396
3.212,213507,212237,215876,221820,220756,214943,211869,213646,238775,207642,217706,220644,228749,207770,199517,202668,198290,207278,208511,201994
3.217,213785,212865,217940,221238,219456,216860,212044,213150,238096,204077,214610,220194,231325,207171,197070,203772,197770,207732,207932,202349
3.221,215229,212407,219830,219591,217619,215207,212642,212028,235919,203450,212986,218088,228845,207044,196285,203901,198040,206589,209298,199870
3.225,215357,211396,216981,217083,216498,214209,212321,210649,237354,202927,211483,213519,227648,208475,196443,200880,196564,205794,209710,197576
3.229,215679,210185,214872,216744,217920,212658,212514,210327,239861,201502,210470,212693,225976,206386,196304,196951,195525,206350,206255,196447
3.233,216207,208087,213635,217549,220467,211230,210847,210734,239785,203142,207455,212967,224182,203853,197079,197945,195164,205092,202507,197786
3.237,214249,207431,211920,218293,218409,209401,207879,210456,238734,201841,205145,210770,224806,204558,197156,200324,195458,203717,200525,199153
3.242,211311,207086,211983,218045,215603,207755,204506,209595,238105,199326,206262,209273,227532,203464,193727,198822,193525,205759,200515,198040
3.246,212141,205604,211032,216359,213128,209827,200861,207980,236674,199282,207988,209321,228301,201530,190895,195559,192436,204844,201045,196545
3.250,212113,203446,209205,213747,212064,209198,200732,208264,236037,197759,208365,211949,227852,201793,190724,194367,192720,200174,199655,194630
3.254,213984,200059,211203,211177,214011,205839,203412,208859,235870,195842,206730,213642,226276,203233,189752,194250,190073,198274,196995,194571
3.258,213878,198401,211901,213337,214482,204151,205093,207933,232450,194469,203071,211568,222626,204418,188935,196148,188471,200453,198425,195741
3.263,210481,200162,209799,215753,212259,206152,206172,206147,228284,196283,200416,209331,219728,202819,188821,196664,186620,199133,200720,196227
3.267,208595,199588,207695,214787,210486,205609,206386,206508,227998,198371,200504,207330,218655,200141,189496,192362,181740,196502,202274,195873
3.271,208032,199888,206390,212016,209194,204503,204407,207230,231455,197719,199926,204125,218788,198522,188563,188531,178241,193991,201381,194354
3.275,206173,201451,204049,211228,210913,203792,201252,207650,233989,195033,198884,201274,219329,199562,186750,188315,180428,193452,200162,192595
3.279,204542,200515,203624,213021,211719,203424,198528,206412,234314,191515,199048,202397,219310,199605,187052,188727,183077,195511,198285,190950
3.283,204293,199271,205693,213968,210004,201560,200957,203774,234035,190923,199114,204132,221459,199095,185812,188596,183072,194492,195236,192423
3.288,202630,197797,205414,210650,207569,200175,200049,202333,232916,189775,199604,205168,223059,197572,184713,189497,182027,192145,193793,195021
3.292,199938,195997,204205,207017,205219,202056,196570,201812,232076,187011,200514,205648,222806,196618,185461,190001,182670,190992,193806,193479
3.296,200083,195047,203864,205859,204749,202847,195186,203874,231317,186736,198643,204021,220150,195233,184166,189777,180921,189683,193997,190927
3.300,202736,195937,204540,206610,206809,199535,196949,204816,230414,191055,198521,202853,216432,195357,181431,189863,179575,188301,194467,189331
3.304,203551,197534,202668,205388,204584,199344,196577,203176,229927,192237,199086,204776,214472,195752,180942,188160,178657,188968,193495,189643
3.308,204265,196114,199232,201643,202176,201655,192743,202849,228528,189553,199597,206200,214798,196830,183181,186289,177859,189823,190733,190699
3.313,204292,193129,199603,199885,203181,200716,191124,202785,225066,188859,199840,205748,213960,193315,182644,185425,178143,187829,189240,187978
3.317,204087,192135,199450,201082,202558,196004,191552,199563,223425,187233,199952,203809,214376,191816,178940,186112,179376,184830,187857,186895
3.321,202168,193158,198601,201341,200615,193130,190111,198699,224810,184725,199535,201259,216055,192120,176674,184228,177355,184264,188246,186904
3.325,200681,194329,199180,200435,201433,192265,190946,200801,224188,184944,196709,198780,216272,193166,175587,184576,176046,182626,188413,187570
3.329,201986,193919,199862,199753,199498,190484,191449,201855,222326,187069,192819,200091,214390,193555,174992,185124,176116,182404,184913,187071
3.333,197447,193183,198632,196758,196837,188869,191769,200903,222711,189043,192551,200414,213722,191401,175418,183209,176596,182931,184679,184007
3.337,192375,192031,195331,197557,198899,190137,189872,198280,223559,188458,192967,199831,213846,188372,176120,180716,176126,183739,186711,179916
3.342,191048,189558,193593,202116,201464,191756,188775,195826,221457,184127,194661,199397,214162,187888,176909,180875,175771,182541,185296,177995
3.346,191208,188590,195148,201072,200895,192728,188520,192449,219228,183912,194483,197208,214016,189657,177661,181645,173702,181631,184580,177905
3.350,190982,187455,194443,198128,198862,192075,185949,190689,218049,184482,191980,193980,212271,189864,177421,180685,171018,180991,186048,180491
3.354,190680,186480,192563,198295,197537,188562,184486,193332,216585,184370,190089,193966,210088,188392,175233,179556,171593,180184,186046,182310
3.358,190384,183069,192665,199666,197756,183818,184920,194709,215040,183536,192065,196370,209152,184918,174150,180138,172755,178880,183930,181244
3.362,191129,181279,191990,199897,194900,183000,185334,194253,214728,180136,193611,198415,209062,186146,173268,180955,171304,177400,181906,179711
3.367,192482,181382,190829,197899,193112,185554,183560,192873,213106,177890,190214,198739,208786,187047,172965,179258,171903,178344,180813,177701
3.371,191808,183936,191520,196816,192413,185653,183561,192751,212536,178659,188556,196625,208233,186320,172253,174999,171457,179889,180846,179153
3.375,189815,184856,191046,194647,191040,183985,183663,192937,213546,179119,190725,194376,210060,185208,170140,172111,170116,179850,180546,178688
3.379,189695,184015,189905,195477,192004,182440,185456,191597,212440,177963,188617,194480,210152,184213,170874,172057,170523,180322,180252,177248
3.383,190557,183804,186659,197613,192842,182488,186436,189165,210829,176335,184077,194258,207775,183135,174013,173502,169395,181207,180610,176306
3.388,190703,183049,186234,197542,192337,181215,184428,187172,210120,174663,183052,190176,208817,180911,174282,174351,166071,181325,182551,177170
3.392,189160,182993,187582,195279,192628,177904,182475,186843,211112,175872,183561,188073,209117,181177,173941,171912,164439,178895,180924,177914
3.396,187213,185007,188569,193519,190970,177268,182318,189737,215155,177481,181956,190148,204812,182060,173909,170653,165760,173610,176903,175941
3.400,186401,183707,186931,192196,188055,179811,180944,191403,217173,178941,182496,190861,201685,180714,172417,169853,166478,174240,177667,173147
3.404,184709,183286,185349,192420,187612,180774,179707,190432,214590,180360,182997,190337,201925,178783,169193,169225,164937,176775,179550,173496
3.408,184733,180851,184893,193691,187206,177916,178694,188073,212132,180592,185518,189512,203375,178873,168072,169980,163484,174053,177484,174337
3.413,185629,177052,185715,195142,187353,177244,176849,184940,211312,176897,187605,188325,204100,179562,168727,168608,162752,171239,174707,173846
3.417,184028,175466,185052,195880,186448,180217,176852,182959,208753,175303,185952,189312,203027,179837,168416,168268,164239,172165,174149,172947
3.421,183760,175437,183614,192917,185011,181993,176774,182120,207143,176753,184049,192208,200556,177503,168240,168477,165171,173158,173174,172268
3.425,183514,176815,183440,188433,183664,180838,176402,180566,206593,177209,184010,192122,199745,174397,169886,166761,163629,174168,170892,172711
3.429,179869,177259,182297,186900,182947,180080,176416,181051,205229,173579,182603,188073,200872,175077,169693,167769,162011,173706,170717,174371
3.433,176213,176424,184833,187889,183470,181672,175726,181683,202720,172019,183116,186275,199178,174222,169928,166164,160844,173462,170661,174128
3.438,177317,175607,185204,187073,183072,180358,173913,181016,203864,172666,183601,187708,198093,172859,169842,162079,160517,175443,171784,173273
3.442,178952,174107,183871,186308,184044,177617,172849,179629,204849,171594,183009,187821,199828,175432,167646,161393,160548,173664,172961,172999
3.446,177883,174753,183907,186846,185838,177962,172222,179335,205984,172052,181617,186842,200097,176950,164409,164204,160051,170549,173407,171660
3.450,176612,175948,183993,186936,183234,179625,173194,180976,204966,173135,179768,185823,199100,177255,162416,165657,160276,169898,171943,170254
3.454,175495,173629,183056,187432,180885,179261,172181,179898,203894,173271,181169,184632,197809,176310,161360,165887,160604,169516,171706,170338
3.458,174882,174047,183486,186443,180104,178796,174551,178513,204629,173390,182448,185457,198158,174836,159320,165293,160751,170285,172132,168625
3.462,175422,175110,184742,187054,179533,175764,174043,179358,201820,174131,181354,184500,199753,175079,158996,163309,158511,169238,171541,167184
3.467,175684,174731,184248,186072,179003,172638,171389,180822,196118,173250,179808,184104,197350,172756,160975,164006,155689,165873,172168,167491
3.471,177560,173526,182284,185880,181232,172919,168282,177774,196479,169881,178319,186356,193414,170985,161716,164550,155949,163199,169160,167453
3.475,179288,172146,182812,185384,183540,174296,167486,174722,197027,169003,177582,184936,193716,170831,160316,162136,157965,163298,166833,168584
3.479,179631,171568,182320,185723,181522,175056,164021,175959,196519,170176,177030,181314,192319,170294,158943,159820,159423,164552,168995,169003
3.483,178581,169685,179824,184876,179162,174039,163791,175862,195504,172053,178596,179047,190765,170987,157351,159245,159240,164589,169396,167656
3.487,175907,169355,179569,184289,176962,171638,167269,176130,197784,170594,178947,177814,192043,172354,156463,158231,157692,164819,170733,167699
3.492,173173,168708,179984,184112,178548,169104,167568,174199,200399,167190,176940,178181,193474,171277,158273,159522,156226,162738,170123,165802
3.496,175793,167637,179855,182431,180948,167836,167323,175069,197809,165878,177005,177759,191364,169768,157931,159755,154927,159867,166024,165561
3.500,178492,167375,178852,181518,180089,167656,165380,177265,195984,165891,178533,177198,190937,169961,154010,159606,155145,158797,165067,165495
3.504,179053,168032,176726,182144,178599,169539,165175,177583,195704,165346,177487,177339,191266,170760,151892,158001,154329,160175,167416,162736
3.508,177555,166730,176138,181543,177005,169845,165362,178867,195353,162462,174879,178422,190290,170573,151614,156216,154634,161817,166433,161564
3.513,177565,166170,179558,180615,174889,167860,166618,176201,195367,161129,172969,178420,187375,169647,151244,154633,155394,160595,163106,163620
3.517,177575,166801,181692,180490,173854,169504,167550,174408,193126,162645,171132,175339,185480,168726,151896,152370,156672,158781,162870,165116
3.521,174363,165364,181748,181004,175268,172250,166154,173649,190629,163846,170034,172956,187633,167207,154273,151899,156723,158893,164276,164353
3.525,175484,164513,181556,180861,174724,171702,166134,172163,190691,163424,171823,173228,189884,164482,155691,153419,155506,159361,162651,163795
3.529,176839,165786,184553,180774,172357,169583,165452,172920,189578,163737,172273,175741,189275,167129,154724,154221,156075,160541,161338,160982
3.533,176154,166455,186229,180440,169910,168626,164688,174856,191628,163574,171712,176360,189553,169103,153842,154825,156908,162472,160712,157639
3.538,173989,166885,183117,180787,170449,167365,164999,173606,193248,163192,172669,176231,188056,170122,151275,156302,157169,164180,159823,159660
3.542,173174,165816,178822,181800,172522,166362,165773,170554,194587,161859,173050,177189,185636,170315,149915,155127,155274,161421,160485,161309
3.546,174246,164459,180654,180978,174646,165261,165760,169200,195945,158445,172077,175627,183742,169205,153319,156409,151349,160584,159029,160227
3.550,173311,162334,182372,181064,175897,164296,165297,171051,194617,158389,171112,174236,183610,167878,154691,158751,151276,157973,160074,159041
3.554,169817,162815,181243,180585,175008,166627,163017,171286,192506,159778,169673,172818,184180,165499,152824,159009,151317,156630,159854,157362
3.558,170070,162211,180642,178826,172017,166344,161930,167836,189620,158699,167389,172094,183635,161914,151790,156453,147883,157190,159970,158753
3.563,171676,160902,180895,177833,171528,163228,161319,163819,190371,157506,168294,171092,183789,161310,151001,156151,147210,156499,160121,160844
3.567,169421,162185,180110,176501,170753,162364,162082,164921,191792,159077,170268,169233,184289,163076,149378,154758,148901,155531,160827,160871
3.571,168031,163977,179042,174749,169789,162656,162960,166386,191525,160442,169822,169442,182795,164067,149496,153396,149585,154553,162357,160005
3.575,166225,163211,178648,174984,171346,162214,162376,168017,190233,159860,167921,170153,180515,165338,149817,152088,149940,154361,162433,158735
3.579,161971,162553,177134,178066,170130,161971,161823,167290,185945,158014,168336,168774,180768,164495,149099,153294,149873,155244,162827,158040
3.583,164692,161961,176099,178214,169523,162000,159973,167709,185872,155240,170649,169945,182132,164450,146922,152727,150200,159278,162664,157996
3.587,167539,159426,177800,177513,170815,161746,159631,169959,185220,154269,171971,172119,182014,162866,145433,153011,151018,158871,160858,158818
3.592,168711,159265,176772,174136,171101,162357,160207,168965,184032,154413,169301,172095,180526,163865,146214,155477,150155,156294,159868,158715
3.596,167835,158587,172677,171260,169522,162901,160620,166804,183041,154592,164013,171368,178833,162275,147683,155844,147958,154017,160293,158318
3.600,165405,156360,171742,169923,168974,161182,160225,165260,182639,154630,162744,171733,179464,157827,148526,155554,146194,154147,158115,157306
3.604,163762,157689,174110,170442,168571,159261,159342,164604,185654,155982,164708,168509,180513,158161,148811,155222,146802,156028,156200,156674
3.608,164854,160477,175082,173524,168504,159120,159360,164494,187114,159197,166825,167391,179456,161717,148584,153220,146356,156533,154630,157108
3.612,167336,161773,173977,172634,166489,159434,160238,165514,184260,161670,167016,167516,178370,164855,145830,151933,145411,156524,153096,155277
3.617,168580,161796,172194,171390,165516,159042,160821,165011,182507,160066,165371,167272,177795,162216,141513,152260,147081,154808,153950,151855
3.621,167421,162832,172614,172401,166070,158660,159544,166151,183720,156154,165308,166567,179741,158714,141733,152015,147307,153908,156796,151337
3.625,165392,163332,172931,172907,165925,157907,158948,165057,183702,158113,165392,166716,179340,156418,144353,150561,146075,154795,157497,153948
3.629,163009,161043,172635,171648,165714,157369,158455,163039,182677,159382,165628,167609,177552,157673,143012,148887,145873,152947,155062,155182
3.633,161657,158140,171545,168921,166209,156421,156317,161558,182762,158266,165172,167105,178967,157662,141943,149644,143947,150950,154604,154829
3.638,162315,157640,169347,170585,166911,156272,156110,161706,184181,156212,164787,164979,178608,157641,142921,150822,140720,153684,153217,154516
3.642,165023,157565,167092,171771,165011,157748,158171,161478,184827,155358,166611,168300,176811,158386,144475,151099,140718,155171,152428,151447
3.646,166459,157412,166438,170529,163007,160296,156793,162364,183672,154268,166839,169106,176612,159390,144322,151676,143872,152594,152792,149792
3.650,166538,157940,166746,171103,164109,161884,156436,160360,183926,152202,166503,167910,178342,157795,143808,151054,146226,149967,153451,152325
3.654,166366,158127,166653,172178,166121,161918,156518,159902,184557,152565,163330,165775,177461,158690,145980,151511,145733,149614,153550,153838
3.658,164342,157936,168104,172077,167219,160284,155633,161594,183272,152096,160058,164348,176357,158798,146757,152747,145738,150827,153907,154640
3.663,164157,157708,169732,172358,164105,158410,154398,160432,182405,154699,160510,164679,175582,156111,144013,152812,144802,152052,153736,156394
3.667,165573,157754,169692,174130,162256,157829,154072,159980,185194,154731,161767,164218,175544,154920,143045,152339,142662,150837,155572,157432
3.671,162872,156768,169444,173814,162969,156942,153890,157795,188080,152835,162579,163221,174705,155021,145279,152103,139517,150259,158104,155633
3.675,158486,155501,167801,173096,162196,156809,154490,156150,189557,152615,163474,164851,174351,158603,145739,150808,136516,150675,156970,155074
3.679,157330,153834,165474,172743,163496,155651,153359,155294,189993,153361,165537,167771,176186,161168,144262,149837,136912,150573,155345,155367
3.683,158238,154201,164614,172304,166003,156086,152513,157018,189002,152295,165220,170305,179484,161471,143855,148171,139091,149862,156358,155599
3.688,159662,154691,167641,170169,166218,158023,153912,155593,188978,150477,164821,173138,183192,161547,146195,146246,139934,148633,156501,154888
3.692,160608,154482,167816,168808,165607,157006,155353,156311,188494,149787,166298,172638,184204,161233,145202,146897,140260,149199,155196,154196
