,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity
6.075,106823,106331,127467,104378,105885,83613,76735,109461,151118,94180,118337,135426,166376,116410,84451,86271,72497,86473,84231,95611
6.079,102664,106340,125776,102422,106214,84046,75548,106533,150154,94822,118719,133723,164044,117819,85983,85010,73406,87028,82031,93769
6.083,100385,108295,125572,102540,106539,83555,74460,104062,146650,93258,119303,129795,160693,116702,88508,85572,76454,85303,81209,93687
6.088,100015,106707,123726,103174,106011,82709,74289,103771,143008,92461,118612,127682,158835,115496,86895,86365,76546,84062,82316,95239
6.092,101084,104478,121570,102100,104881,83941,76863,102712,141806,91864,116381,128210,155928,115368,85838,86385,73963,83303,82446,96366
6.096,101518,104904,123087,101421,103711,85370,78725,103938,142733,90629,114928,127752,155501,114762,85192,86459,74252,82940,82066,95762
6.100,100768,105228,123243,100967,102674,84957,77845,105488,144269,90049,116074,125639,158679,112966,82166,86626,77057,81058,81350,93864
6.104,100422,103116,121460,99717,100589,83529,76711,105891,144748,90146,116023,126510,157202,112597,82021,86342,76797,80452,78948,93649
6.108,101607,100957,119529,97225,98521,82170,75486,105509,143552,89154,114332,127381,152902,112368,84675,84495,75214,81857,77707,95424
6.112,101418,101346,118722,95618,97826,80947,75593,105119,143077,89167,113578,126696,152097,112165,85010,82878,76196,83052,79220,95769
6.117,99438,103310,118210,97176,100310,80641,76459,104274,144214,92076,113444,125437,151833,110388,84592,84369,76671,81736,79737,94172
6.121,97592,102587,120177,98227,103101,81121,77141,104905,143414,93977,114324,125099,151854,109809,85438,85941,75058,80327,80539,92926
6.125,97433,102459,120850,96620,103435,82203,75984,105295,141137,94617,114635,125887,152051,112776,86122,86089,73948,80949,82812,94246
6.129,97325,104429,120268,97029,104121,82543,75626,106299,139834,94116,113718,125964,152214,112850,85023,86040,73532,83997,82616,96457
6.133,98392,104902,119627,97647,103672,83148,75848,107282,139075,94977,113638,124846,151361,111558,81702,86005,72330,83593,81807,97612
6.138,97487,104598,119574,95991,102674,83396,75761,108746,139866,94654,115217,123328,150538,110825,80987,86819,71149,81853,80990,97605
6.142,95266,102953,119152,95945,102681,84219,75218,110011,139762,93619,116095,121943,151781,109469,83619,86172,72416,81673,81418,94978
6.146,95344,100600,119703,97365,101680,85072,76074,109626,138244,95157,116399,120759,153194,109902,84429,83737,72857,83887,82247,92619
6.150,96199,100591,120180,98105,100146,82674,74607,106714,138317,94271,114871,119755,153578,112662,83680,84698,71459,85529,82216,92355
6.154,94964,103408,120156,96343,100934,82286,73894,105508,138815,92351,114607,120376,152452,112837,84123,85778,72546,84090,81503,93399
6.158,94429,106331,120861,95638,101658,83710,74324,106202,138571,94368,117116,121242,152025,110826,83456,85574,73293,83438,81644,95907
6.162,95542,107509,118753,96433,103188,82632,75563,106389,137792,95652,116841,120292,150507,110835,81512,84686,71684,84232,82073,97251
6.167,97163,106755,119847,95962,102967,83144,75940,104326,137633,92259,111662,120133,146068,111713,81212,83748,71510,84122,82416,95797
6.171,98183,106341,123349,96923,99691,83612,75670,103925,137236,90230,108615,121816,143740,112085,81531,83548,72964,83898,81984,93015
6.175,96603,104494,122949,99329,99238,81427,74856,104351,135091,92528,109764,122330,143846,109982,81067,82690,72733,84687,82593,93393
6.179,94358,102102,120275,99650,99666,80203,75298,104313,132430,92213,111687,121060,145454,109193,81694,83103,72220,84610,81738,96256
6.183,93965,101433,118863,97526,98608,80579,75801,105871,129420,89354,112399,119609,144493,109582,82534,83662,73075,84062,82443,96684
6.188,93516,101008,117495,97568,99054,79782,73747,106109,130543,89803,113241,118117,141620,110402,82455,82591,73752,83408,84511,95914
6.192,92617,99898,115323,97968,100063,77702,73772,104759,133494,92117,113765,117189,140938,110812,83414,82072,73046,82389,84183,93720
6.196,91625,100926,113486,98775,100380,76886,75611,102731,132251,93403,111899,116725,142606,109214,82816,82798,72684,83736,81779,91688
6.200,92726,100598,114851,97183,99619,77695,73452,103386,131823,91901,110190,116334,143022,108669,83624,82041,73029,85105,79992,91194
6.204,93304,100017,115467,94050,97888,78757,71776,104049,131263,90019,109683,118570,140690,109282,83539,80945,74710,85873,79576,90386
6.208,95067,100541,115227,92868,98324,78713,72448,104395,130889,90419,109409,120380,137628,110729,83238,81871,74994,86246,80306,89313
6.213,97108,101589,114833,94856,101579,79136,74070,105274,131535,91442,108459,118749,137541,111948,81528,82639,74305,85946,81003,90505
6.217,98012,103230,114432,97996,103649,81194,73357,107134,131007,92296,109942,117745,139505,109898,81016,83739,73582,86198,81149,90352
6.221,97525,104490,114251,97857,102611,82252,70577,108259,131888,92824,112919,118516,142355,108769,81714,85127,71986,87321,81746,89431
6.225,97693,104138,114410,96001,100246,82780,70716,108044,134879,93628,113021,118139,143906,110121,81276,84349,70851,87799,84015,89484
6.229,98184,102844,115301,94842,100071,82108,70301,107653,133605,95311,112637,118436,140848,109425,79483,82171,70825,87391,85718,90091
6.233,98000,101735,115583,95100,101343,79851,71593,109050,131629,92624,114388,120707,137556,108808,78460,80845,71376,88864,85790,93839
6.237,96814,99867,115668,95382,102159,79370,71870,110821,131585,90775,116034,121949,139228,108366,78548,83164,70720,89855,85054,94847
6.242,95936,99268,114047,93473,102153,81300,70236,110391,132788,92725,116774,121022,140856,106409,79535,84896,71506,90068,84537,94131
6.246,96414,99052,114620,93813,103923,82200,69172,109798,135071,94640,115762,120777,141278,106419,80001,85457,73269,90668,83671,92897
6.250,98073,99942,116282,94317,104842,81542,69313,109301,135551,96838,115519,120568,142093,107590,81359,85114,71980,89351,84188,91832
6.254,97612,101812,115726,94136,103918,81050,71053,108545,138416,98179,116292,122148,143458,108618,81911,83484,71924,87048,84875,91664
6.258,97360,104257,115762,94336,105573,82158,72363,108181,139363,97269,117282,121360,143206,108216,80134,83667,72437,86038,83954,92276
6.263,98338,104922,117167,95024,107043,84736,72601,108571,140101,96526,118701,122111,143542,109108,80197,83177,71320,86964,81533,94163
6.267,98118,103670,116515,95329,105391,86507,71464,108504,140258,94872,121036,125003,143179,109983,80736,82699,69715,88216,82834,94953
6.271,95880,103358,115758,94555,103245,86035,71764,109421,140659,94089,121868,125723,144331,110683,80581,84322,68718,88566,84523,94198
6.275,96031,105489,114945,95217,101736,84875,71297,107910,141244,96221,121207,124125,146027,111261,82193,84208,69360,89835,83858,94137
6.279,98956,106001,116165,96047,100706,83378,73447,108552,141998,96092,120781,124759,148950,108948,83568,84162,71515,90528,82305,92853
6.283,99386,104968,117562,95485,102156,81398,73728,110075,142259,94537,119334,127189,150318,107170,82065,85374,71379,88832,82948,89203
6.287,97614,102567,117496,95023,104047,80752,72539,110297,140132,95129,118883,127495,150350,109091,80540,83397,70637,87153,83907,89963
6.292,97745,99022,116227,94553,104420,81782,70588,110717,136640,95000,117604,125121,147421,109564,80665,80861,72170,86722,82485,93746
6.296,98398,97299,114994,94274,104021,82526,69697,109848,133949,93407,117533,125502,144704,106947,79435,80542,74123,85953,80854,94308
6.300,98082,96845,114485,93875,101799,81975,70478,108229,133836,92415,119077,123410,142755,105643,77106,81593,73025,87551,80744,92587
6.304,96837,96294,115633,94403,99627,82438,70240,110164,131681,90563,117881,120053,143374,106281,76624,81265,72447,86864,82552,91296
6.308,95231,95275,116618,94889,99089,82535,68276,113576,129739,88791,114526,119590,141376,107279,78110,79345,71556,85742,82535,89989
6.313,93804,94389,116467,94280,100407,80513,68268,113611,131544,89238,114372,120632,140018,107407,78842,77446,70581,85242,79371,89334
6.317,93344,95090,115440,92927,101343,79505,67767,111202,133050,89372,116395,121193,138331,107370,78654,76943,71148,84190,78821,89354
6.321,93217,95501,115017,92751,100882,81066,66665,110064,133116,90839,117198,121833,138452,107466,78735,76336,69155,84027,79871,89067
6.325,95452,95733,113594,93067,102566,82519,67303,109710,134807,92060,114577,124585,138517,107194,80251,76296,67877,84374,80159,90866
6.329,97462,96308,111168,94417,103467,82050,68106,110802,133748,90064,111964,126461,140629,106537,80665,77547,70357,84677,78440,90689
6.333,97868,95965,110481,93681,102952,80742,67000,109706,132876,89358,113416,125782,144896,104916,78792,78133,70742,84023,76986,91474
6.338,96290,94199,112075,90789,102848,80434,66928,108773,135555,89832,118469,124580,142798,104138,78331,77934,69603,82192,76092,93762
6.342,95385,93750,115665,91295,101186,79237,67899,110667,137889,89789,119687,124080,139974,106865,79504,76829,70083,82126,77115,94825
6.346,96594,94389,117591,93858,100862,78116,68177,112356,139181,91724,118527,124776,141358,106902,80252,76259,69267,84197,77396,92689
6.350,97079,95533,115771,92829,101913,79514,67822,112918,139021,95130,119105,125778,142910,104550,80485,76365,68344,84276,77307,90013
6.354,96049,94955,116187,91721,102489,79912,68589,113276,138601,96593,119811,128185,143326,104106,81581,75268,65967,82054,76184,90274
6.358,97828,94062,118505,91192,102385,78881,68442,111901,136798,95994,120229,129018,143451,105437,81419,74316,65433,81742,75015,90812
6.362,99506,94545,117900,92073,101159,78919,65746,112378,137976,94864,120868,128152,143004,104863,79090,75189,64433,83494,75432,90890
6.367,97844,95019,114429,94625,98806,78499,65990,112911,140009,93564,120776,128733,142636,103780,77049,76199,64774,84134,74510,90145
6.371,97478,93742,114184,94165,96351,78542,68437,112939,140064,91327,119660,128955,140633,104171,77374,75858,66847,83251,74002,88240
6.375,96159,94451,114901,92525,96665,77223,68609,113972,138386,91442,117777,126361,141690,102720,77946,74035,67730,82733,75923,88659
6.379,93895,93818,114479,92184,98268,76917,68599,113083,137458,91863,117600,124263,140425,103282,78679,72411,66693,81394,77242,89605
6.383,93972,94738,111479,92936,99156,77899,67645,112749,137917,90847,118388,123916,139073,104632,78873,72079,65131,80228,77170,88196
6.388,95731,96341,110492,92576,100675,79020,65847,112381,137828,91003,119967,123492,141448,105560,77913,73018,66622,81069,75821,87797
6.392,95923,96491,112200,92789,101282,79351,67820,112081,139158,91556,120886,125823,141029,104437,77421,73601,67128,80551,75914,89459
6.396,95096,95037,112510,92962,99659,79107,67986,112006,141430,90845,118959,126104,138971,103403,77011,74504,66648,80011,76532,89192
6.400,92320,92547,112412,91960,98663,77281,66663,111985,139680,89452,115864,124027,140274,102344,76302,75184,67200,79871,76172,87939
6.404,90909,93212,112466,90220,97534,78226,63876,112312,137136,88564,116532,124159,142045,101139,76419,74026,66950,80253,75619,87922
6.408,91734,92251,111978,89162,96708,78696,63557,109943,135897,87697,116353,124804,141313,99821,76687,72688,64119,81408,74583,88149
6.412,92282,92447,111273,87285,98165,77631,66274,109507,136362,86008,114609,122856,138433,100949,77405,72334,62967,81530,73827,88626
6.417,91938,92977,110189,87211,98524,78375,65554,112026,135741,84826,113269,122378,140694,101289,76935,72065,65136,79240,77085,85837
6.421,91130,93348,111199,88373,97138,75906,65498,110834,134940,85870,112600,124940,140742,99793,76869,72463,66533,78289,77946,85830
6.425,91656,94474,113552,89951,95539,73354,66086,108189,135770,85161,114156,124764,140054,99458,78543,73703,66246,78252,76294,87894
6.429,92193,95161,113479,88574,94713,72489,65484,107571,136543,86011,113581,124283,142255,101007,79355,72555,66416,79520,75616,86970
6.433,90983,96138,112643,87503,95351,71995,65999,108525,135248,86907,112672,124817,141440,103195,79506,70744,66905,81201,75657,84541
6.438,91206,95772,112228,81626,97381,73133,66343,109741,133998,87267,115591,124197,140179,103603,79910,71586,66799,79196,75360,83098
6.442,92726,94880,112023,82486,97395,74582,66353,107667,133802,87637,117155,124827,140033,103393,78859,72781,66191,78771,75753,84937
6.446,93901,93607,110174,82696,95404,74968,65443,106361,133436,86314,117529,125666,138778,103207,76759,71430,66621,78883,74784,85837
6.450,93602,93751,108308,84546,94226,75419,64660,107740,131477,85390,115675,124555,138493,103673,75601,70801,66130,79101,75071,83856
6.454,92489,93462,110121,86029,95203,75936,64365,108695,130190,84692,111942,122858,138424,103573,75793,71322,65178,77464,75855,82717
6.458,94183,92257,112157,85939,95813,76167,65920,108733,130551,84441,107636,121538,137888,102209,75413,72729,64600,75705,75634,83650
6.463,95046,91141,111687,85073,96631,76065,65633,107728,129143,84333,108405,122418,137782,101607,75226,73370,65880,76828,72975,83402
6.467,94099,92352,110099,86217,97416,75337,66357,106858,127244,84704,109594,123187,136245,101548,75687,73003,67094,77356,73553,84273
6.471,92271,93696,108446,86078,97804,75062,64946,108361,128912,85142,110412,121241,136160,100897,73792,71795,64513,74714,73123,85309
6.475,91477,93938,108655,86805,97183,74544,62721,108060,131246,83245,111535,119045,136069,100057,72434,71478,64085,75580,72136,85826
6.479,88876,91688,108434,86555,95574,74634,61936,107309,130694,83578,110896,119500,134390,97556,73082,73184,66017,76665,72075,85523
6.483,88250,89439,107654,86266,94808,76219,62370,107017,129457,84857,109116,121187,133738,96800,73950,74214,66388,75684,72316,85133
6.487,89623,88448,105785,86155,95487,75524,62268,104539,128805,85298,108487,120529,133525,97218,72979,73309,65233,74629,73682,84419
6.492,87724,89629,105479,85026,95866,77209,63021,103834,127305,82822,108821,119047,133672,97900,72163,72968,64709,75429,74406,83299
6.496,86570,90234,106062,85555,95519,75755,65928,104171,126191,81361,107277,120170,133505,96898,71883,73563,63756,75281,71675,82044
6.500,86159,90726,107894,86034,95082,74770,66148,103703,126983,81237,107650,120085,131964,94690,72408,72589,62760,75511,70452,82678
6.504,89889,90234,108573,86334,97009,76419,65617,102783,126908,82290,110373,119123,131793,95380,73116,70643,62268,78337,70465,81823
6.508,88750,89761,108185,87749,97234,77906,65978,101130,124913,82804,108896,118546,132216,96308,73240,70471,61533,80712,70763,82179
6.513,87533,88746,107945,89110,96603,77120,65816,102745,122714,82357,105890,118847,130892,96070,73195,71450,61187,80401,70523,82512
6.517,88011,88853,105277,87346,96724,76898,64615,103897,120964,82259,105795,120725,130866,96109,72742,73245,61942,77453,70551,82406
6.521,86651,89948,104765,85927,95852,76870,64627,102440,118911,84152,107020,120440,131833,97576,73883,74985,61661,75905,69376,81518
6.525,86337,90344,107951,84559,95982,74971,63150,102302,118964,86158,107500,119615,131305,97551,74536,73945,61813,75284,69913,81090
6.529,89274,91002,109639,84127,96862,75053,63088,102323,121937,84367,106370,120204,130257,96439,73981,72449,61769,75130,70146,81398
6.533,89785,90565,109922,80684,94624,74234,64149,102603,122234,83567,105924,118849,129554,96266,73415,72375,61891,77421,70166,79444
6.537,88102,89487,108851,83719,94589,73201,63308,103162,121689,85360,105877,117112,129513,97935,73248,72334,61735,78438,68264,79978
6.542,87436,89232,106359,84593,97404,74736,64503,103353,122056,86331,105147,117636,129564,99457,73628,72622,60520,76893,67040,80449
6.546,89165,90307,105625,85294,98789,75946,63920,104548,122362,85803,104881,117060,128354,98561,73975,71975,60478,76893,67853,78050
6.550,92368,91541,106583,84738,97253,74037,61806,105141,123482,85453,105572,115805,128608,97150,74127,72099,62121,76778,67997,78321
6.554,91234,90782,104414,84178,97434,71750,61855,103935,125934,84028,104738,114195,129742,96602,73010,69897,63789,75487,67554,79740
6.558,89484,87196,104852,84894,97284,71159,62408,101509,125051,83799,103325,113398,128754,95369,74465,69197,64253,74523,67795,78561
6.563,90337,87826,109213,82526,94636,72801,62962,101242,122356,82017,104239,112522,129003,95372,77398,71466,64427,74580,67321,78673
6.567,90371,87599,110926,81608,93685,74318,64411,100457,121849,79707,104813,114415,128989,95882,75479,72773,63692,76055,66657,78833
6.571,89461,88490,107959,82627,94551,75097,66591,97584,121556,78707,102918,115420,127262,95918,70649,72494,63432,76449,66980,78767
6.575,90083,88334,104473,83778,92279,74586,66988,97269,119813,79299,101145,117312,126783,92958,69825,71065,62953,75896,68341,77940
6.579,88569,87958,103946,82897,94321,73129,66120,99328,119607,81979,104038,116882,127071,91954,69921,69553,63099,74371,68888,78210
6.583,87242,87834,104955,83696,94622,72801,65034,98808,119996,83917,107020,115771,125956,91821,69626,70302,65215,74958,69705,79566
6.588,88482,88984,104948,85197,90869,73355,64859,98310,119400,83637,107220,114867,124313,93708,71172,72607,67330,75034,71052,79506
6.592,90683,88716,103743,85495,90637,73640,63493,99215,118353,81541,104390,115541,124302,96619,71245,73440,65772,73610,71137,79144
6.596,91726,87840,104015,84254,90556,74797,62172,99956,117793,82036,104404,116078,122961,97835,69506,74569,63139,71054,70621,79308
6.600,90568,86903,105013,82512,91008,73812,62630,101019,117502,82048,105815,114469,122472,97280,70940,73887,61827,69593,70212,80641
6.604,88629,86242,105498,82012,93872,72314,63345,100855,116307,81665,104450,113953,121967,95449,73059,74388,62096,70520,69521,79948
6.608,87022,88331,105418,83455,95508,72966,61398,100426,115248,83454,102662,112938,119018,94110,73099,74695,64023,72739,69755,79053
6.612,88185,90630,104358,84902,96050,74181,60121,101524,115703,84761,103908,113332,119084,94571,72541,74800,64419,73577,70659,79803
6.617,87681,90579,103746,84445,94673,73796,60583,102897,115908,84566,104803,115950,120124,94860,71293,74744,64021,73310,69254,80409
6.621,86483,90404,104562,85216,92495,73041,61283,102654,117201,82557,104902,116054,119766,94068,71034,74534,63994,72349,67855,80932
6.625,86610,91670,104016,84718,91618,73837,63790,100841,116153,81735,102833,116237,120184,92340,70711,74746,65674,73106,68368,80571
6.629,88114,90189,103714,86683,90758,73335,64983,100224,115727,84545,102017,116453,120696,91294,70616,75478,66204,75172,69465,79634
6.633,86870,89511,104854,87850,90825,73087,63607,102523,116698,84882,102143,117132,121640,93186,70824,74232,65087,75581,70227,79644
6.638,85617,90462,104547,87889,90337,72700,62716,102900,116307,85952,101486,115855,120685,96166,70175,71922,63930,74400,69709,80199
6.642,87687,90927,104539,88455,90516,72585,64321,100677,114875,86318,102851,113952,119371,96338,68447,71458,63603,73707,70131,81108
6.646,87974,88382,105488,88551,91362,72722,65804,99559,114225,86325,105077,113044,119254,95510,68818,72784,62726,72822,73129,81562
6.650,86786,85288,107724,86608,92915,73497,66631,101641,115766,87961,104201,112768,118173,94250,70699,74846,61413,71116,72970,81895
6.654,87079,85380,108019,84725,93626,75691,66373,101511,114661,88505,102967,113023,119982,94818,72321,76322,61204,71038,72228,82304
6.658,86841,88447,104902,87340,93593,75768,65980,100777,114185,88252,103476,114073,121903,95933,71763,75995,62173,72472,71546,81615
6.662,87591,89866,103263,87743,96375,74681,65698,102209,115306,87810,105909,114405,120854,95199,71136,75433,62458,73751,70197,81650
6.667,86739,88596,104351,87512,95525,75016,65240,99966,116026,87903,107254,116172,119769,92855,70776,75776,63388,72942,70871,82488
6.671,83519,88694,105034,88805,95689,75799,64593,99026,116443,88846,105437,117113,118567,91586,70500,76402,62957,73972,70839,82462
6.675,84404,89722,104431,89282,93132,76654,64118,100103,116744,88765,103748,115279,117145,93494,70304,78269,61604,75290,70953,82966
6.679,85675,90068,105596,89638,92741,76661,64926,98622,114073,88643,102844,114882,117196,95006,71859,79564,60833,75064,72900,81861
6.683,85678,89849,106866,89842,92873,74715,63927,97863,112688,88234,102747,113956,117427,93842,71514,79411,61397,75219,72537,82021
6.688,86145,90209,105806,88175,93775,73108,60561,98286,112767,86325,102267,110623,117599,95446,70700,79599,61692,74343,70574,82423
6.692,87784,91293,101722,88354,94722,74409,61232,100450,111027,84898,101362,109622,118677,94042,71375,82725,61283,74077,69745,81963
6.696,86949,89283,99483,89501,93829,75092,63427,101237,112236,87365,102406,108142,117729,93869,71693,83893,61785,73385,69545,81428
6.700,83614,89966,101087,87931,93677,75326,63960,100019,114357,87384,103810,111457,114779,92749,72050,82291,63277,72048,69956,82161
6.704,84316,91460,102760,86317,92547,76231,63922,99561,115717,86634,102795,114303,112695,93163,71744,80654,62043,74286,70905,82191
6.708,88387,89571,102973,88278,92332,75578,64885,100329,114864,86472,103339,114503,112733,95115,71560,80250,63489,72502,70193,81383
6.713,90327,89461,105780,88176,93224,74352,66184,100518,113172,87753,104603,116080,115158,95772,71411,81901,63218,71735,68856,81518
6.717,89539,91413,106095,87322,93046,75377,66793,101090,112363,88418,102344,116238,115336,96427,70801,82954,61253,71722,68594,81067
6.721,86317,92932,103912,86499,91867,75678,66032,101468,113276,86756,101435,116772,116655,96549,71451,82752,61164,73653,70615,81019
6.725,86884,94099,103876,85609,91991,75336,64814,101903,113729,86197,103217,114904,117317,94966,72789,81758,64618,74203,71069,79200
6.729,88391,93483,104276,85217,92297,76496,63995,102927,113809,87791,106955,111750,117519,95624,72614,82117,65529,74502,71048,84603
6.733,87378,93761,104491,86961,91218,76170,61773,103142,116301,88926,106998,113047,118715,97441,74677,83684,64086,75806,71272,86480
6.737,85578,94532,106431,86049,91097,76500,61755,104019,119336,89347,109558,115269,120816,99238,76357,86187,63335,76302,71609,87197
6.742,84677,92833,107636,86581,91613,78907,62333,104882,121506,89885,110342,115310,127220,101115,74441,86994,62010,74423,73130,89065
6.746,85649,92663,107512,90175,94106,77638,64024,105885,121680,91196,110560,115731,134885,103916,73182,85790,63226,72981,74043,88410
6.750,86795,95366,106604,90873,96008,77762,62531,105518,121769,90974,110935,117231,139976,105718,74272,87755,64620,75144,73232,90828
6.754,87476,97982,106278,89192,97131,80107,61702,105515,123528,90998,112014,117928,142725,108019,74096,90437,64575,77384,72885,94240
6.758,88918,97838,107732,86578,97408,81366,62336,105252,125923,91385,111774,118331,144052,109900,71901,91183,63605,77359,72245,93247
6.763,90021,96511,111360,86178,97470,82010,62939,102744,128479,90731,111359,120390,142596,109331,71681,91670,62625,76635,72702,91327
6.767,91492,96315,112184,87383,99100,81410,63559,102452,127850,89956,112968,122505,142565,108559,74170,92038,61998,76346,74907,90293
6.771,93384,97847,113727,88670,99269,80394,62567,103353,126542,90355,114589,122450,144434,109567,74917,90872,61770,75988,74563,91173
6.775,94867,99148,113002,88899,97287,81560,61630,103331,126630,92077,111826,121866,145758,110255,73620,90074,62253,75410,73986,91889
6.779,95712,99791,111462,89513,97158,83310,62882,105161,126850,93323,110901,122283,144807,108996,72511,89900,61695,76304,74813,92935
6.783,94599,99848,112762,89626,99614,83989,62686,107434,127268,93028,111482,120114,142476,107833,73650,89596,62749,77864,74001,92252
6.787,92742,98389,113753,90308,100371,82326,64213,106985,127479,94598,111612,120635,140204,108753,75649,91028,64420,78880,75421,89879
6.792,90557,96585,113357,91846,100126,80344,64958,106478,128467,92431,112087,122945,141044,109363,76408,90994,64292,80555,75783,90586
6.796,90206,96634,115799,93768,99420,80722,63844,107829,129719,88848,113431,122702,142243,109571,76141,88737,63847,79523,76135,93359
6.800,90216,96600,118982,94279,98380,82882,62290,108481,130562,89570,115015,123823,143815,109689,76601,89376,62690,76012,76578,96655
6.804,92124,96037,119104,96188,99724,84023,62961,107186,133577,92157,115883,125672,144535,112084,78552,92442,61199,75087,75914,98517
6.808,93708,98424,118733,97233,99114,85097,63175,108436,134912,92164,117817,128461,147808,116519,78998,94320,60279,75148,75825,99035
6.813,93507,100270,120521,96057,98529,84089,62173,110841,135959,92884,120282,130329,151266,119493,79237,94921,63132,74518,75962,99688
6.817,94391,100210,124731,95820,97874,84318,61907,111999,139422,95368,121715,130914,153787,119155,79655,95387,63420,75128,75090,100113
6.821,97613,99337,125403,97659,97374,84628,63583,112969,143681,96248,124067,131838,156732,121273,79380,96863,63445,77136,75556,101186
6.825,101636,99473,124570,98772,98870,84015,63995,113655,146547,96217,125926,133082,160850,127612,79416,97338,64715,79186,77265,104811
6.829,102667,100514,124638,97262,99292,82950,63362,115153,149677,96662,126019,135019,161588,130737,78814,97836,64206,80083,79096,105562
6.833,101363,101760,126200,96499,100921,83732,62325,116667,150184,97796,126448,136753,161202,131708,77806,99323,64454,79853,80027,107844
6.838,99343,101840,127892,97010,100833,83384,61937,116560,146803,98977,126713,137758,164557,132819,77157,98327,65285,79913,80548,110802
6.842,99356,101706,127235,97459,100909,81843,64406,116934,144974,99228,126459,138518,166359,133571,79133,94218,64848,80945,81359,111446
6.846,100767,100984,126278,98103,102571,81662,66961,115899,147657,97739,126729,137410,164680,135360,80081,92170,64948,81932,79100,110325
6.850,102604,100228,126896,97829,103316,82484,67707,114873,148647,96542,125980,137436,165046,135994,80318,93492,63825,82504,78839,111435
6.854,104650,100724,125499,98719,102365,82336,67669,112013,148238,94752,126800,136496,167806,135073,80487,93890,63471,83020,81382,112348
6.858,106032,100503,125239,100030,102341,83020,66370,112017,149230,95129,127183,136274,167664,135958,80848,93147,63475,83411,80874,110946
6.862,106043,101349,126776,99502,102664,82582,64690,111360,149345,95202,127014,137319,165890,135034,80506,94187,61914,81284,78882,109015
6.867,103413,100877,127818,100693,103740,81824,64193,111772,148474,95770,126323,137233,165116,132740,80849,94753,61535,79038,79333,107981
6.871,101368,99661,127069,102097,104938,83128,64423,112920,146237,97515,125943,138380,165470,132815,81557,93478,62113,79538,80796,107717
6.875,101137,98833,126831,103371,104293,84074,63759,113201,146101,97850,125274,137545,163729,132395,83441,91426,61778,81952,79622,109344
6.879,100404,100407,125542,104234,102237,84084,63711,114746,145212,96323,123374,135423,162230,130445,83937,90789,61808,81513,79491,111415
6.883,99202,100152,124674,104907,100320,84429,63140,115471,144404,94833,122412,134135,161502,130160,83730,91602,64803,80045,79259,111112
6.888,101181,99744,126219,105888,100586,85485,65598,116610,144767,94141,120831,130609,161206,131851,85540,93997,68095,79450,77995,108859
6.892,101755,100742,127442,105692,101958,85703,65733,116897,143741,94243,118111,129359,160158,133284,86458,93991,67048,79902,76238,107178
6.896,101576,97676,125042,103696,103345,83229,64695,114471,140832,94172,118628,130211,157994,129816,87255,93367,64816,78390,75972,107355
6.900,102607,95023,123259,102573,103491,82052,62867,112405,138723,94817,121831,129925,157695,123835,87388,91944,65390,79047,76911,107898
6.904,101820,95563,122771,102952,102425,82438,61668,109654,137154,95829,122530,128344,156884,121106,88024,91841,67097,78231,76390,107195
6.908,99380,97461,119966,102579,101433,81072,61169,107487,135476,94344,121975,128803,154036,121962,87444,91720,67571,77540,77056,104983
6.912,98672,97770,120431,101328,99950,79923,63858,105783,134228,93357,119673,128863,151518,123830,85005,89635,67190,77791,78214,103230
6.917,99305,96222,120622,101820,97025,77873,63736,104617,134327,92987,116715,127691,149123,124581,84083,88230,66017,79760,78202,102765
6.921,97084,95587,119434,100109,94667,78824,63432,106980,135082,91540,116534,129321,149742,123087,85019,89906,64702,78767,77472,102821
6.925,94720,94697,118758,100707,95731,79580,63141,110047,134605,90426,116482,129755,150284,121314,85665,89097,64116,76966,75425,99835
6.929,93385,94534,118985,101344,98468,78451,62497,108602,130807,91898,115612,127882,149587,120923,85632,87332,64522,77698,74872,97805
6.933,92642,94516,118932,100229,99414,77648,62242,105352,129104,93602,113132,124777,147093,120131,86318,86405,65121,77585,75078,96232
6.938,93397,94697,118227,99508,97963,78871,65156,104437,128910,91753,111980,122898,145647,118050,86341,85565,64842,74995,74150,95856
6.942,94197,93955,118884,97398,95080,80598,65028,105892,126217,88882,111058,121661,146474,116632,86396,87207,65169,74541,73355,96023
6.946,94962,96558,117796,97082,94875,81149,64579,107811,123886,87345,111647,123382,143004,116221,85485,86518,66329,74677,71982,95815
6.950,96111,97281,115627,97688,97399,79968,61970,107465,123166,86443,110882,123482,141557,115472,85128,84735,68035,73984,71756,94589
6.954,96146,96733,115545,97204,96436,79763,61522,105150,124153,86584,109011,121910,142412,113194,84779,85189,69373,74778,72004,94152
6.958,94379,96088,115110,97637,96539,81353,61096,104013,125700,87544,108402,120612,142297,113139,83675,86005,67898,75260,71973,95773
6.963,93325,97006,113773,98250,96452,81863,62864,105592,125724,87676,107941,120395,141025,114413,85141,85245,65773,74182,71736,94540
6.967,93843,97413,114314,95342,95717,80695,63953,104323,124228,85271,107099,121654,138758,112684,85339,85097,65727,74369,71590,92945
